student_id,name,dob,class,board,school,actual_career_id,predicted_career_id
1,Katelyn Roberts,2010-03-19,9,ICSE,Turner Group,1,NULL
2,Kayla Lucas,2010-07-02,8,ICSE,"Gibson, Smith and Torres",3,NULL
3,Rhonda Merritt,2009-10-27,11,ICSE,"Williams, Hull and Anderson",4,NULL
4,Erik Chavez,2009-04-29,12,CBSE,Daniels Group,4,NULL
5,Megan Anderson,2007-07-28,9,State Board,Ray Ltd,1,NULL
6,Elijah Molina,2008-09-29,9,State Board,Hartman-Rivas,2,NULL
7,Kristina Perez,2009-07-21,11,CBSE,Byrd PLC,7,NULL
8,Teresa Malone,2010-03-09,11,ICSE,Ortega-Martinez,8,NULL
9,Andres Williams,2009-06-08,9,State Board,"Quinn, Gregory and Ramirez",1,NULL
10,Mary Berry,2009-09-03,9,ICSE,Young-Wilson,1,NULL
11,Gloria Rubio,2008-03-11,11,State Board,Johnson Inc,8,NULL
12,Jeffrey Smith,2007-02-12,9,ICSE,"Reynolds, Chavez and Hanson",3,NULL
13,Michael Taylor,2008-11-01,11,CBSE,Jenkins-Miller,4,NULL
14,Maria Harrison,2009-01-29,12,CBSE,Hale Inc,7,NULL
15,Allison Mcguire,2010-06-17,11,ICSE,Thomas LLC,4,NULL
16,Willie Anderson,2010-06-10,12,State Board,Sanchez and Sons,5,NULL
17,Mr. Ryan Rubio,2010-04-29,8,ICSE,Dougherty-Alexander,2,NULL
18,Mary Murillo,2010-06-06,10,State Board,Williams-Martinez,1,NULL
19,Hannah Sanchez,2009-09-19,11,State Board,Watson and Sons,8,NULL
20,Darryl Williams,2007-06-26,8,State Board,"Smith, Fuller and Martin",3,NULL
21,Amanda Zimmerman,2011-01-02,10,CBSE,"Moore, Gray and Bryant",1,NULL
22,Andrew Hall,2007-07-27,8,CBSE,"Wells, Smith and Obrien",1,NULL
23,Jason Morris,2008-10-30,11,ICSE,Smith-Fitzpatrick,7,NULL
24,Tammy Johnson,2008-02-28,10,ICSE,Miller-Mendez,2,NULL
25,Kevin Gutierrez,2007-12-13,12,ICSE,"Suarez, Holland and Mcdaniel",7,NULL
26,Charles Stone,2008-07-16,8,ICSE,"Cooper, Clark and Scott",3,NULL
27,Steven Wilson,2009-10-16,12,State Board,"Lee, Spencer and Watson",6,NULL
28,Joseph Baxter,2010-09-15,11,CBSE,Wilcox and Sons,6,NULL
29,Gregory Garcia,2009-04-26,9,State Board,Woods-Smith,3,NULL
30,Alexandra Noble,2007-04-11,10,CBSE,Curtis-Lopez,2,NULL
31,Justin Garner,2008-07-26,8,ICSE,Munoz Ltd,2,NULL
32,Cheyenne Gaines,2008-04-29,11,CBSE,Hernandez-Pena,7,NULL
33,Bonnie Mendez MD,2009-02-10,9,ICSE,Stokes-Kelly,2,NULL
34,Christine Taylor,2009-08-29,10,State Board,"Love, Jackson and Williams",2,NULL
35,Stephen Jenkins,2008-07-05,8,State Board,Khan-Jimenez,3,NULL
36,Martha Hall,2008-02-01,10,CBSE,Gonzalez-Garcia,1,NULL
37,Suzanne Cochran,2007-02-08,11,CBSE,"Haynes, Wilson and Harmon",5,NULL
38,Kimberly Jackson,2008-06-15,11,CBSE,"Brown, Ward and Warren",6,NULL
39,John Moss,2007-03-19,10,ICSE,Walker-Bowman,2,NULL
40,Sarah Foster,2010-05-30,9,ICSE,"Myers, Nguyen and Johnson",2,NULL
41,Jessica Ryan,2007-09-09,10,ICSE,Jordan-Barrera,2,NULL
42,Audrey Moran,2008-02-06,11,State Board,Poole Inc,5,NULL
43,Patricia Schroeder,2009-12-27,12,ICSE,Wilson Ltd,5,NULL
44,Tiffany Rivera,2007-07-22,10,ICSE,Jones LLC,3,NULL
45,Danielle Davis,2007-01-27,11,ICSE,Mills Ltd,4,NULL
46,Theresa Long,2008-07-30,10,ICSE,Powers Ltd,1,NULL
47,Fernando Bass,2007-03-02,8,State Board,Hernandez PLC,2,NULL
48,Cynthia Lee,2010-11-11,8,State Board,Fitzpatrick PLC,1,NULL
49,Aimee Rogers,2009-01-07,11,State Board,"Pratt, Wolfe and Frye",7,NULL
50,Steven Brown,2007-05-11,11,ICSE,Rogers-Brown,7,NULL
51,Rachel Smith,2010-03-09,11,CBSE,"Roberts, Fowler and Valentine",7,NULL
52,William Freeman,2008-02-15,8,State Board,Duncan-Phillips,3,NULL
53,Erica Baker,2009-05-26,8,ICSE,Harris and Sons,3,NULL
54,Amanda Lopez,2007-07-27,12,CBSE,Diaz-Jackson,4,NULL
